Noise,SNR,Model,EER,Filter,Window_Size
AirConditioner,20,campplus,0.3028182774631949,mean,25
AirConditioner,20,ecapa_tdnn,0.22966803755866605,mean,25
AirConditioner,20,redimnet,0.29106630113905374,mean,25
AirConditioner,5,campplus,0.3815361186787935,mean,25
AirConditioner,5,ecapa_tdnn,0.3086244135393783,mean,25
AirConditioner,5,redimnet,0.37666480457190604,mean,25
Babble,0,campplus,0.32235403290568765,mean,25
Babble,0,ecapa_tdnn,0.32364435339207587,mean,25
Babble,0,redimnet,0.3042979775643161,mean,25
Babble,10,campplus,0.23703058400347654,mean,25
Babble,10,ecapa_tdnn,0.21961698557253703,mean,25
Babble,10,redimnet,0.22516133221992235,mean,25
Babble,15,campplus,0.21142233653261228,mean,25
Babble,15,ecapa_tdnn,0.18760623740200538,mean,25
Babble,15,redimnet,0.19909471065273857,mean,25
Babble,20,campplus,0.19178343909881856,mean,25
Babble,20,ecapa_tdnn,0.16566004101928977,mean,25
Babble,20,redimnet,0.17950501152617565,mean,25
Babble,5,campplus,0.2730364776236248,mean,25
Babble,5,ecapa_tdnn,0.26475492640978737,mean,25
Babble,5,redimnet,0.2597368524651684,mean,25
gaussian,0,campplus,0.2926826676043771,mean,25
gaussian,0,ecapa_tdnn,0.20585609904550295,mean,25
gaussian,0,redimnet,0.24867138738453531,mean,25
gaussian,10,campplus,0.23076495693700494,mean,25
gaussian,10,ecapa_tdnn,0.16555974564970904,mean,25
gaussian,10,redimnet,0.1951452731993823,mean,25
gaussian,15,campplus,0.20592069053831843,mean,25
gaussian,15,ecapa_tdnn,0.15376566616115206,mean,25
gaussian,15,redimnet,0.1830808281111857,mean,25
gaussian,20,campplus,0.19213220310645576,mean,25
gaussian,20,ecapa_tdnn,0.1463332539957165,mean,25
gaussian,20,redimnet,0.173885589496508,mean,25
gaussian,5,campplus,0.26306835298484427,mean,25
gaussian,5,ecapa_tdnn,0.18406051147013602,mean,25
gaussian,5,redimnet,0.2169947872131363,mean,25
Neighbor,0,campplus,0.3439889823810784,mean,25
Neighbor,0,ecapa_tdnn,0.34635451490580926,mean,25
Neighbor,0,redimnet,0.36651057106964613,mean,25
Neighbor,10,campplus,0.24788759482331468,mean,25
Neighbor,10,ecapa_tdnn,0.23065715938714149,mean,25
Neighbor,10,redimnet,0.26243155595704054,mean,25
Neighbor,15,campplus,0.22034074518308822,mean,25
Neighbor,15,ecapa_tdnn,0.19452443196873415,mean,25
Neighbor,15,redimnet,0.22782372704663212,mean,25
Neighbor,20,campplus,0.2012972786078251,mean,25
Neighbor,20,ecapa_tdnn,0.1689435179880024,mean,25
Neighbor,20,redimnet,0.20300681235973053,mean,25
Neighbor,5,campplus,0.2884665124930711,mean,25
Neighbor,5,ecapa_tdnn,0.28293224189374955,mean,25
Neighbor,5,redimnet,0.3103323780000413,mean,25
poisson,0,campplus,0.25793084751184686,mean,25
poisson,0,ecapa_tdnn,0.21211391072202335,mean,25
poisson,0,redimnet,0.279415086643679,mean,25
poisson,10,campplus,0.22646180886577658,mean,25
poisson,10,ecapa_tdnn,0.17027622066192052,mean,25
poisson,10,redimnet,0.19636524928647148,mean,25
poisson,15,campplus,0.21206230276188906,mean,25
poisson,15,ecapa_tdnn,0.15752214901011627,mean,25
poisson,15,redimnet,0.18005590163255825,mean,25
poisson,20,campplus,0.19966266422166334,mean,25
poisson,20,ecapa_tdnn,0.14919474046940479,mean,25
poisson,20,redimnet,0.1733276737504941,mean,25
poisson,5,campplus,0.24199510772659832,mean,25
poisson,5,ecapa_tdnn,0.18848726551213119,mean,25
poisson,5,redimnet,0.2254613767366265,mean,25
rayleigh,0,campplus,0.29172055076262116,mean,25
rayleigh,0,ecapa_tdnn,0.20542478820525956,mean,25
rayleigh,0,redimnet,0.24924441331645225,mean,25
rayleigh,10,campplus,0.2293129650144983,mean,25
rayleigh,10,ecapa_tdnn,0.16543124401587128,mean,25
