Noise,SNR,Model,EER
Babble,20,ecapa_tdnn_ft,0.032477524269281105
Babble,20,ecapa_tdnn,0.02392859843040352
Babble,5,ecapa_tdnn_ft_aug_25,0.06974813273806696
Babble,5,ecapa_tdnn_ft_aug_50,0.07116474757176199
Babble,5,ecapa_tdnn_ft,0.06888818844985498
Babble,5,ecapa_tdnn,0.05857383103481949
Neighbor,0,ecapa_tdnn_ft_aug_25,0.1749227057839107
Neighbor,0,ecapa_tdnn_ft_aug_50,0.1644425316323202
Neighbor,0,ecapa_tdnn_ft,0.16194827047796043
Neighbor,0,ecapa_tdnn,0.20341052387540395
Neighbor,10,ecapa_tdnn_ft_aug_25,0.06330278700335257
Neighbor,10,ecapa_tdnn_ft_aug_50,0.06274279664645717
Neighbor,10,ecapa_tdnn_ft,0.06079277977432471
Neighbor,10,ecapa_tdnn,0.05645590319942356
Neighbor,15,ecapa_tdnn_ft_aug_25,0.043866619279806666
Neighbor,15,ecapa_tdnn_ft_aug_50,0.0440456181743597
Neighbor,15,ecapa_tdnn_ft,0.042764539632401614
Neighbor,15,ecapa_tdnn,0.0339183079128846
Neighbor,20,ecapa_tdnn_ft_aug_25,0.03439990277515223
Neighbor,20,ecapa_tdnn_ft_aug_50,0.03446458619519102
Neighbor,20,ecapa_tdnn_ft,0.033653664142319906
Neighbor,20,ecapa_tdnn,0.02411734934724205
Neighbor,5,ecapa_tdnn_ft_aug_25,0.10272585658002409
Neighbor,5,ecapa_tdnn_ft_aug_50,0.10075493097705238
Neighbor,5,ecapa_tdnn_ft,0.09854462329582572
Neighbor,5,ecapa_tdnn,0.10844531969510071
